model_key,brand,model,title,price,reference_price,type,placement,capacity,voltage,amperage,plug,emf,spectrum,red_light,ir_wattage,heater,heater_kw,max_temp,exterior_dimensions,interior_dimensions,wood,weight,warranty,inhouse_url
mx-k306-01,Maxxus,MX-K306-01,"Maxxus Low EMF FAR Infrared Sauna - 3-Person Capacity, Canadian Hemlock",2999.0,4999.0,Infrared,Indoor,3,,,,Low,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-3-person-sauna-hemlock
mx-k306-01-ced,Maxxus,MX-K306-01 CED,Maxxus 3-Person Low EMF FAR Infrared Sauna - Canadian Red Cedar | Maxxus Sauna,4299.0,6499.0,Infrared,Indoor,3,,,,Low,Far Infrared,True,,,,,,,Cedar,,,https://inhousewellness.com/products/maxxus-3-person-infrared-sauna
mx-k306-01-ced,Maxxus,MX-K306-01 CED,Maxxus 3-Person Low EMF (Under 8MG) FAR Infrared Sauna,4299.0,6499.0,Infrared,Indoor,3,,,,Low,Far Infrared,,,,,,,,Cedar,,,https://inhousewellness.com/products/maxxus-3-person-low-emf-far-infrared-sauna-canadian-red-cedar
mx-k306-01-zf,Maxxus,MX-K306-01-ZF,Maxxus MX-K306-01-ZF HEM Near Zero EMF Far Infrared Sauna 3 Person,3699.0,5999.0,Infrared,Indoor,3,120V,20A,,Near Zero,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-mx-k306-sauna
mx-k306-01-zf-ced,Maxxus,MX-K306-01-ZF CED,Maxxus 3-Person Near Zero EMF FAR Infrared Sauna – Canadian Hemlock,4699.0,6999.0,Infrared,Indoor,3,,,,Near Zero,Far Infrared,,,,,,,,Canadian Hemlock / Cedar,,,https://inhousewellness.com/products/maxxus-3-person-infrared-sauna-near-zero
mx-k356-01,Maxxus,MX-K356-01,Maxxus Ultra Low EMF (Under 2MG) FAR Infrared Sauna – Canadian Hemlock,3299.0,5499.0,Hybrid,Indoor,3,120V,20A,,Near Zero,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-3-person-sauna-hemlock-ultralow
mx-k356-01-ced,Maxxus,MX-K356-01 CED,Maxxus 3-Person Corner Low EMF FAR Infrared Sauna – Canadian Hemlock,4499.0,6999.0,Infrared,Indoor,3,120V,20A,,Low,Far Infrared,,,,,,,,Canadian Hemlock / Cedar,,,https://inhousewellness.com/products/maxxus-3-person-sauna-hemlock-1
mx-k356-01-ced,Maxxus,MX-K356-01 CED,Maxxus 3-Person Corner Low EMF (Under 2MG) FAR Infrared Sauna,4499.0,6999.0,Hybrid,Indoor,3,,,,Low,Far Infrared,,,,,,,,Cedar,,,https://inhousewellness.com/products/maxxus-3-person-corner-2mg-infrared-sauna
mx-k356-01-zf,Maxxus,MX-K356-01-ZF,Maxxus MX-K356-01-ZF HEM 3-Person Corner Near Zero EMF Far Infrared Sauna,3899.0,6499.0,Infrared,Indoor,3,,,,Near Zero,Far Infrared,True,,,2.2 kW,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-mx-k356-corner-sauna
mx-k356-01-zf-ced,Maxxus,MX-K356-01-ZF CED,Maxxus 3-Person Corner Near Zero EMF FAR Infrared Sauna – Canadian Hemlock,4899.0,7999.0,Infrared,Indoor,3,120V,20A,,Near Zero,Far Infrared,,,,,,,,Canadian Hemlock / Cedar,,5-year limited warranty,https://inhousewellness.com/products/maxxus-3-person-corner-sauna-hemlock
mx-k406-01,Maxxus,MX-K406-01,Maxxus 4-Person Low EMF FAR Infrared Sauna – Canadian Hemlock,3699.0,5999.0,Hybrid,Indoor,4,120V/240V,20A,,Low,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-4-person-sauna-hemlock
mx-k406-01-ced,Maxxus,MX-K406-01 CED,"Maxxus MX-K406-01 CED 4-Person Low EMF FAR Infrared Sauna, Canadian Red Cedar",4699.0,7999.0,Infrared,Indoor,4,,,,Low,Far Infrared,,,,,,,,Cedar,,,https://inhousewellness.com/products/maxxus-4-person-sauna-cedar
mx-k406-01-zf-ced,Maxxus,MX-K406-01-ZF CED,Maxxus Chaumont Near Zero EMF Infrared Sauna 4-Person,5499.0,8999.0,Infrared,Indoor,4,,,,Near Zero,Far Infrared,True,,,,,,,Cedar,,,https://inhousewellness.com/products/maxxus-chaumont-edition-far-infrared-sauna-corner-unit-4-person-low-emf-red-cedar
mx-k406-01-zf-hem,Maxxus,MX-K406-01-ZF HEM,Maxxus MX-K406-01-ZF HEM 4-Person Near Zero EMF FAR IR Sauna 2.1 kW,6999.0,9100.0,Hybrid,Indoor,4,120V,20A,,Near Zero,Far Infrared,True,,,2.1 kW,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-mx-k406-sauna
mx-m206-01-fs-ced,Maxxus,MX-M206-01-FS CED,Maxxus 2-Person Full Spectrum Near Zero EMF FAR Infrared Sauna – Canadian Red Cedar,4299.0,6499.0,Infrared,Indoor,2,120V,15A,Standard 120V outlet,Near Zero,Full Spectrum,True,,,,Up to 140°F,,,Cedar,,,https://inhousewellness.com/products/maxxus-2-person-sauna-full-spectrum
